geo_type,region,transportation_type,alternative_name,sub_region,country,date,score
city,Birmingham,driving,NA,England,United Kingdom,2020-04-03,38.16
city,Birmingham,driving,NA,England,United Kingdom,2020-04-04,32.58
city,Birmingham,driving,NA,England,United Kingdom,2020-04-05,27.28
city,Birmingham,driving,NA,England,United Kingdom,2020-04-06,35.75
city,Birmingham,driving,NA,England,United Kingdom,2020-04-07,36.9
city,Birmingham,driving,NA,England,United Kingdom,2020-04-08,37.67
city,Birmingham,driving,NA,England,United Kingdom,2020-04-09,38.58
city,Birmingham,driving,NA,England,United Kingdom,2020-04-10,36.16
city,Birmingham,driving,NA,England,United Kingdom,2020-04-11,33.41
city,Birmingham,driving,NA,England,United Kingdom,2020-04-12,25.42
city,Birmingham,driving,NA,England,United Kingdom,2020-04-13,31.77
city,Birmingham,driving,NA,England,United Kingdom,2020-04-14,40.26
city,Birmingham,driving,NA,England,United Kingdom,2020-04-15,41.55
city,Birmingham,driving,NA,England,United Kingdom,2020-04-16,41.24
city,Birmingham,driving,NA,England,United Kingdom,2020-04-17,43.27
city,Birmingham,driving,NA,England,United Kingdom,2020-04-18,35.88
city,Birmingham,driving,NA,England,United Kingdom,2020-04-19,32.27
city,Birmingham,driving,NA,England,United Kingdom,2020-04-20,41.37
city,Birmingham,driving,NA,England,United Kingdom,2020-04-21,42.09
city,Birmingham,driving,NA,England,United Kingdom,2020-04-22,43.7
city,Birmingham,driving,NA,England,United Kingdom,2020-04-23,43.2
city,Birmingham,driving,NA,England,United Kingdom,2020-04-24,47.05
city,Birmingham,driving,NA,England,United Kingdom,2020-04-25,39.94
city,Birmingham,driving,NA,England,United Kingdom,2020-04-26,34.31
city,Birmingham,driving,NA,England,United Kingdom,2020-04-27,42.79
city,Birmingham,driving,NA,England,United Kingdom,2020-04-28,42.55
city,Birmingham,driving,NA,England,United Kingdom,2020-04-29,43.8
city,Birmingham,driving,NA,England,United Kingdom,2020-04-30,44.47
city,Birmingham,driving,NA,England,United Kingdom,2020-05-01,49.41
city,Birmingham,driving,NA,England,United Kingdom,2020-05-02,43.72
city,Birmingham,driving,NA,England,United Kingdom,2020-05-03,36.67
city,Birmingham,driving,NA,England,United Kingdom,2020-05-04,46.02
city,Birmingham,driving,NA,England,United Kingdom,2020-05-05,48.27
city,Birmingham,driving,NA,England,United Kingdom,2020-05-06,49.89
city,Birmingham,driving,NA,England,United Kingdom,2020-05-07,50.25
city,Birmingham,driving,NA,England,United Kingdom,2020-05-08,45.44
city,Birmingham,driving,NA,England,United Kingdom,2020-05-09,45.14
city,Birmingham,driving,NA,England,United Kingdom,2020-05-10,38.4
city,Birmingham,driving,NA,England,United Kingdom,2020-05-11,NA
city,Birmingham,driving,NA,England,United Kingdom,2020-05-12,NA
city,Birmingham,driving,NA,England,United Kingdom,2020-05-13,55.39
city,Birmingham,driving,NA,England,United Kingdom,2020-05-14,57.79
city,Birmingham,driving,NA,England,United Kingdom,2020-05-15,62.17
city,Birmingham,driving,NA,England,United Kingdom,2020-05-16,58.57
city,Birmingham,driving,NA,England,United Kingdom,2020-05-17,51.65
city,Birmingham,driving,NA,England,United Kingdom,2020-05-18,60.57
city,Birmingham,driving,NA,England,United Kingdom,2020-05-19,64.6
city,Birmingham,driving,NA,England,United Kingdom,2020-05-20,66.88
city,Birmingham,driving,NA,England,United Kingdom,2020-05-21,66.76
city,Birmingham,driving,NA,England,United Kingdom,2020-05-22,73.42
city,Birmingham,driving,NA,England,United Kingdom,2020-05-23,65.66
city,Birmingham,driving,NA,England,United Kingdom,2020-05-24,56.99
city,Birmingham,driving,NA,England,United Kingdom,2020-05-25,66.59
city,Birmingham,driving,NA,England,United Kingdom,2020-05-26,74.01
city,Birmingham,driving,NA,England,United Kingdom,2020-05-27,74.69
city,Birmingham,driving,NA,England,United Kingdom,2020-05-28,76.36
city,Birmingham,driving,NA,England,United Kingdom,2020-05-29,81.95
city,Birmingham,driving,NA,England,United Kingdom,2020-05-30,75.5
city,Birmingham,driving,NA,England,United Kingdom,2020-05-31,68.77
city,Birmingham,driving,NA,England,United Kingdom,2020-06-01,76.56
city,Birmingham,driving,NA,England,United Kingdom,2020-06-02,78.2
city,Birmingham,driving,NA,England,United Kingdom,2020-06-03,71.7
city,Birmingham,driving,NA,England,United Kingdom,2020-06-04,73.19
city,Birmingham,driving,NA,England,United Kingdom,2020-06-05,77.39
city,Birmingham,driving,NA,England,United Kingdom,2020-06-06,70.36
city,Birmingham,driving,NA,England,United Kingdom,2020-06-07,60.43
city,Birmingham,driving,NA,England,United Kingdom,2020-06-08,72.37
city,Birmingham,driving,NA,England,United Kingdom,2020-06-09,74.39
city,Birmingham,driving,NA,England,United Kingdom,2020-06-10,73.91
city,Birmingham,driving,NA,England,United Kingdom,2020-06-11,73.18
city,Birmingham,driving,NA,England,United Kingdom,2020-06-12,80.08
city,Birmingham,driving,NA,England,United Kingdom,2020-06-13,80.25
city,Birmingham,driving,NA,England,United Kingdom,2020-06-14,69.46
city,Birmingham,driving,NA,England,United Kingdom,2020-06-15,79.5
city,Birmingham,driving,NA,England,United Kingdom,2020-06-16,78.46
city,Birmingham,driving,NA,England,United Kingdom,2020-06-17,78.5
city,Birmingham,driving,NA,England,United Kingdom,2020-06-18,79.4
city,Birmingham,driving,NA,England,United Kingdom,2020-06-19,87.23
city,Birmingham,driving,NA,England,United Kingdom,2020-06-20,86.53
city,Birmingham,driving,NA,England,United Kingdom,2020-06-21,71.5
city,Birmingham,driving,NA,England,United Kingdom,2020-06-22,85.26
city,Birmingham,driving,NA,England,United Kingdom,2020-06-23,89.11
city,Birmingham,driving,NA,England,United Kingdom,2020-06-24,92.19
city,Birmingham,driving,NA,England,United Kingdom,2020-06-25,93.81
city,Birmingham,driving,NA,England,United Kingdom,2020-06-26,100.07
city,Birmingham,driving,NA,England,United Kingdom,2020-06-27,87.74
city,Birmingham,driving,NA,England,United Kingdom,2020-06-28,77.51
city,Birmingham,driving,NA,England,United Kingdom,2020-06-29,86.7
city,Birmingham,driving,NA,England,United Kingdom,2020-06-30,89.45
city,Birmingham,driving,NA,England,United Kingdom,2020-07-01,90.9
city,Birmingham,driving,NA,England,United Kingdom,2020-07-02,90.52
city,Birmingham,driving,NA,England,United Kingdom,2020-07-03,98.91
city,Birmingham,driving,NA,England,United Kingdom,2020-07-04,92.66
